blind_position,blind_id,filename,duration_seconds,file_size_bytes,sha256
1,V001,V001.mp4,3.003,944023,c43973d45a1a19657f695842e07d7ce940e93376de203343dc3be4239d0ab250
2,V002,V002.mp4,4.004,705707,34ffcb991413aab9a6d1599f75f11e6cba89d474228f6aae61e167086266a2e9
3,V003,V003.mp4,8.008,2405721,0061b285fa599ccc1aab7b3d489d7a52850b0bdf83b02394543b8ec2b123fbc7
4,V004,V004.mp4,4.004,1160721,f94ffb145ff6bf6bd6bd03fcc50bdeea92f54f4a11ab26ce1cc8b0a993fda6ea
5,V005,V005.mp4,6.506,2346260,dcbf12bbfe961c177145a3645895519e3867dd09d9b553f5a2113e9f5cfbecd1
6,V006,V006.mp4,11.000,1964716,c11d3a14f2c4794c2a8f19e879796ee9d387749c25c5b05f8062caf14b692151
7,V007,V007.mp4,8.008,2708403,62ae963b19c65d7ad3b2b707d4955902fa28581064c5c9001e1fc95adaa007c9
8,V008,V008.mp4,3.000,343865,028f2584a7c515e13fa6b702c890bff3136a34465c4b41fa5222b119b1edd890
9,V009,V009.mp4,4.009,415215,253dfaedefe884029354fb0762692f755b8bc218157c5546933a4b9b25b56a4d
10,V010,V010.mp4,5.005,1002599,55bba74a90de1c49725e5a57203dfa56f82eb01020e69d0db36c9615f781e978
11,V011,V011.mp4,4.500,282274,c0ca368c1086fdd410767082c06927cb0f683bb59cff16ae43586d36113d9260
12,V012,V012.mp4,3.000,189456,7ff63c8b11bccb21940f4bebe5b45891345268380f30a765e22fd6b9712a5f0b
13,V013,V013.mp4,6.000,1407012,d7a813d253acf03bb9ecabf8ff0b76c72ce0ae14ccf529e42bc34419a4a8d841
14,V014,V014.mp4,7.007,1132739,a73cd9bebcda70086ce5b3fcc31fef2b586de73ad83e8dea51af4b903cdf7fd3
15,V015,V015.mp4,5.005,959612,abf200c222a8165033c4fbf57653fea3d122a9c4bf1c8c8e70b83fa4f5f82bf9
16,V016,V016.mp4,5.000,189426,d2d0c1d1c7c807f2539caf67602cc017dd7705a34408c0d76a3c0e468fe23811
17,V017,V017.mp4,4.004,1184953,3eaae08d5a56be70ffba88a69d9942df224f39111cc5d5d0e85bf459cd28cb68
18,V018,V018.mp4,7.015,663652,83398a4b93dd4d593bbfbfb632d248d6226badd1dc19e694c81b7368461f9e33
19,V019,V019.mp4,6.013,853514,2e2802f6fe44ff4dfbd699da0f6c9579fd4d30854b8019f6df9cf7ea0753ee12
20,V020,V020.mp4,5.005,1219736,d9a5de7cc9c634581151d8593e7893f943cfe6ee5ab18862db954f55126ec527
21,V021,V021.mp4,6.006,786309,a1521400abee0b48b46a6552745908b862d580f510561d8ebda91a744e8f0cba
